schema	id	kind	path	sha256	index_path	index_sha256	source_url	source_checksum	reference_build	generation	license	expected_validity	expected_error	expected_metrics
aligngauge-testdata-v1	basic	committed	testdata/fixtures/basic.bam	87f4eb6c5fe9ea43c8bd071c30f3dbae3e2739541ddf5b6905754348684dfcc0	testdata/fixtures/basic.bam.bai	ca36918247f3e37a6d169e6a002fedc449be68c4b27f1e0519b40ab99e523fb0	generated:aligngauge-testkit-v1	-	synthetic-v1	cargo run -p aligngauge-testkit --locked -- generate-corpus --root .	Apache-2.0	valid	-	testdata/expected/basic.tsv
aligngauge-testdata-v1	chunk_boundary	committed	testdata/fixtures/chunk_boundary.bam	6c6159467da4fdb7be456fd8bb61b0b0f8710ae16195c73526762c78aa5d64d4	testdata/fixtures/chunk_boundary.bam.bai	83656bf44a92b3a76e2630160eac1f70afffdf91c2caf675df413d563fe451f9	generated:aligngauge-testkit-v1	-	synthetic-v1	cargo run -p aligngauge-testkit --locked -- generate-corpus --root .	Apache-2.0	valid	-	-
aligngauge-testdata-v1	cigar_ops	committed	testdata/fixtures/cigar_ops.bam	818b12ee11bcac3e2a666a50ceb249355254a2f073ba66d6460e9c014fb19a4f	testdata/fixtures/cigar_ops.bam.bai	3bb606667d47a2d3eb4ec36bfb3fe4f8921d9e487d150d79d416baeede231a84	generated:aligngauge-testkit-v1	-	synthetic-v1	cargo run -p aligngauge-testkit --locked -- generate-corpus --root .	Apache-2.0	valid	-	testdata/expected/cigar_ops.tsv
aligngauge-testdata-v1	coordinate_regression	committed	testdata/fixtures/coordinate_regression.bam	f4343f2157a525429cfd5fe951262815aa15fcfd5a4af2cf7ef7e65d3a34b141	-	-	generated:aligngauge-testkit-v1	-	synthetic-v1	cargo run -p aligngauge-testkit --locked -- generate-corpus --root .	Apache-2.0	error	input_unsorted	-
aligngauge-testdata-v1	empty	committed	testdata/fixtures/empty.bam	063426df710141a99f3086c162e249c1edb7156b211be73dfd03c332886126ef	testdata/fixtures/empty.bam.bai	77373aea8733d005307c969c4d95686fd1717394622da68ff510120bdb5345d7	generated:aligngauge-testkit-v1	-	synthetic-v1	cargo run -p aligngauge-testkit --locked -- generate-corpus --root .	Apache-2.0	valid	-	-
aligngauge-testdata-v1	flags_and_pairs	committed	testdata/fixtures/flags_and_pairs.bam	4ac6b617a681596c8d68da5c18ea98535cbc1919a2f522195778408ff418ca88	testdata/fixtures/flags_and_pairs.bam.bai	2ac0d71ee6a9edbcc7dea2209047425a2657e8c737166201fd99bdf5a9331a55	generated:aligngauge-testkit-v1	-	synthetic-v1	cargo run -p aligngauge-testkit --locked -- generate-corpus --root .	Apache-2.0	valid	-	testdata/expected/flags_and_pairs.tsv
aligngauge-testdata-v1	integer_boundary	committed	testdata/fixtures/integer_boundary.bam	576da7be054f001edeaf36fabc25ff8239b2319f5208d17f6d25aebd9cb2ace4	-	-	generated:aligngauge-testkit-v1	-	synthetic-v1	cargo run -p aligngauge-testkit --locked -- generate-corpus --root .	Apache-2.0	valid	-	-
aligngauge-testdata-v1	long_cigar	committed	testdata/fixtures/long_cigar.bam	da461a5800b074751c1061c97b8e5fa8675e25f60ac72b2b5d1d7f688c09e1b3	testdata/fixtures/long_cigar.bam.bai	6cf64416a5f5734af1f22a6279e680d6612c792683791f2b61c9f6f517e3f840	generated:aligngauge-testkit-v1	-	synthetic-v1	cargo run -p aligngauge-testkit --locked -- generate-corpus --root .	Apache-2.0	valid	-	-
aligngauge-testdata-v1	malformed_optional_tag	committed	testdata/fixtures/malformed_optional_tag.bam	585fb6301db19a8aef4ccad881dadba18fcf42a553cdaefa8f24b501569119c4	-	-	generated:aligngauge-testkit-v1	-	synthetic-v1	cargo run -p aligngauge-testkit --locked -- generate-corpus --root .	Apache-2.0	error	input_corrupt	-
aligngauge-testdata-v1	malformed_record_length	committed	testdata/fixtures/malformed_record_length.bam	4172bcd5d2aceb0a3198c24536a54eb69e102555714a15055b5a9b7c3c20971f	-	-	generated:aligngauge-testkit-v1	-	synthetic-v1	cargo run -p aligngauge-testkit --locked -- generate-corpus --root .	Apache-2.0	error	input_corrupt	-
aligngauge-testdata-v1	multi_track	committed	testdata/fixtures/multi_track.bam	eb87b651ca66a2fc4fd0d86820352646ebefcfb56e7511c110d85dc5d7de4990	testdata/fixtures/multi_track.bam.bai	4ea21b3d83a46c83cf7a27facb2bc1c66560beb56b432baf122ba5929bb32de1	generated:aligngauge-testkit-v1	-	synthetic-v1	cargo run -p aligngauge-testkit --locked -- generate-corpus --root .	Apache-2.0	valid	-	-
